"","Study","Group","Trial","Condition","Resp_RR","Resp_DET","Resp_LMAX","Resp_L","Resp_ENTR","Resp_LAM","Resp_TT","HR_RR","HR_DET","HR_LMAX","HR_L","HR_ENTR","HR_LAM","HR_TT","Type"
"225","2","Group8&6",NA,"Synchronous",3.70441135269074,69.9803196394786,34,3.51769456856795,1.67977593536993,78.6829370323537,3.76624647310458,39.3575250906319,97.3957669919515,338,16.0340446527692,3.35821229708077,98.7607558432938,27.5440800472023,"Surrogate"
"226","2","Group8&6",NA,"TurnTaking",3.68715384836183,81.4038456027739,41,3.33493122542018,1.5516670958786,93.3389689658137,4.38096839273705,19.6903587825495,93.2464695051581,84,8.15660496586163,2.82515193378576,97.7920201566368,19.0122118316035,"Surrogate"
"227","2","Group8&7",NA,"Synchronous",4.9839672501875,88.4811888744417,45,3.92993000847431,1.86384453289691,94.0192351178699,5.66766773162939,25.1937230790794,99.0658703579258,170,13.0965583783144,3.37327266792618,99.5684977911934,19.5060564368188,"Surrogate"
"228","2","Group8&7",NA,"TurnTaking",5.01702065388684,89.2671489394562,68,4.17586982578855,1.91060088684267,97.7100817476948,8.28675616944006,20.9204099152772,99.1214905225452,121,12.5111199489267,3.29351795346091,99.6814314853817,17.6422470722902,"Surrogate"
"229","2","Group8&7",NA,"Synchronous",3.28875203414027,65.9280994656186,18,2.95280349177419,1.34635733873288,77.2513091808651,3.66770896888347,25.690565901581,96.9736868758482,144,12.0235583684951,3.11591094047228,97.5825281395804,20.6060740001426,"Surrogate"
"230","2","Group8&7",NA,"TurnTaking",3.03082278321634,80.3132861932125,37,3.16702561517665,1.46231807744667,93.4710738999832,4.32189775139027,16.3667748461742,96.6775197347781,70,9.88935026074135,2.82768553333792,97.2439142268461,17.8284981442978,"Surrogate"
"231","2","Group8&7",NA,"Synchronous",3.85400573970506,81.6588000383812,35,3.28600584698549,1.55777613325328,88.7862851085412,3.74258474576271,28.4424909029817,99.3208928962408,169,13.9392108191389,3.14803625172741,99.7080479833233,22.6536137900455,"Surrogate"
"232","2","Group8&7",NA,"TurnTaking",3.1765606463041,76.5736998785944,37,2.96796304254405,1.33729264719786,88.958184348096,3.76140359101777,22.084196835242,99.4309211301459,140,14.2032538569425,3.01052296650594,99.90456441313,21.7276811643719,"Surrogate"
"233","2","Group8&7",NA,"Synchronous",3.94201901178247,71.2184226396551,23,3.31267921705523,1.57186527198817,77.8892586719082,3.81947426067908,22.1988582086355,96.292157659488,117,9.65638027771682,3.03342163011381,97.2947207201575,17.3683182680504,"Surrogate"
"234","2","Group8&7",NA,"TurnTaking",3.89871676367556,89.4004408390395,43,3.91853259686009,1.84395418976444,92.9492854432781,4.4268381878415,20.5027892549977,97.2870142011684,97,10.8559034006155,3.18330285544001,98.1299468249369,20.414003097719,"Surrogate"
"235","2","Group8&9",NA,"Synchronous",4.97489825556568,89.1486642903412,53,3.99240682909817,1.88798984847343,94.8805170808718,5.43152988855116,24.7566394746323,98.9896795828951,96,10.3397568669355,3.02701289403356,99.5591278129951,13.8235282671933,"Surrogate"
"236","2","Group8&9",NA,"TurnTaking",4.28155160460451,82.4974499868386,41,3.60899996401454,1.66971051567988,91.6828441695183,4.4370708015685,22.4967002330176,98.9295931035015,95,10.3219494927554,2.9225443556731,99.5489979874932,13.3467140833859,"Surrogate"
"237","2","Group8&9",NA,"Synchronous",3.41133314397038,64.1521998358447,18,3.02836464653849,1.40037165311249,77.8715562231893,3.58216185410334,20.2963640895844,95.5557264891521,111,10.1704250848259,3.02255121878269,96.6540603139196,16.9727750262644,"Surrogate"
"238","2","Group8&9",NA,"TurnTaking",3.34668794153017,75.6445740023573,28,2.96867385288894,1.34280440136429,94.0688668125947,4.3487229384578,22.6842522404503,97.4207426462604,115,11.5983375970721,3.1106518174862,98.0853436027474,20.9243719412724,"Surrogate"
"239","2","Group8&9",NA,"Synchronous",3.5270816908621,75.5796537055898,19,3.12349117920149,1.45957759137936,82.858027280171,3.37793608792998,23.7336553334625,98.810186829684,121,13.2317954038288,3.14176306993978,99.2256968655122,20.8855727516076,"Surrogate"
"240","2","Group8&9",NA,"TurnTaking",2.81355432565509,69.9698947882308,26,2.85601512403239,1.25783524856105,81.5106432250756,3.07920745259375,25.0946736929861,99.3537518888362,150,14.7186847171589,3.10970884522308,99.7477634658641,22.5192184647076,"Surrogate"
"241","2","Group8&9",NA,"Synchronous",3.52683515508597,70.516482089895,24,3.2716890217064,1.54878896352142,76.6609412916047,3.72739190599888,21.5588187692862,95.9698203203513,103,8.67999155823363,2.8241504333209,96.9653764051679,17.6826505458387,"Surrogate"
"242","2","Group8&9",NA,"TurnTaking",4.30636366950189,83.8066613506716,39,3.50297405394319,1.64649272447269,94.0857510887567,4.61003025506422,20.96407143976,96.8058073521953,88,9.01745785834855,2.8530807766701,97.9249290671283,20.0739377491307,"Surrogate"
"243","2","Group9&1",NA,"Synchronous",3.61736661401954,73.3977869622576,29,3.30548308596234,1.55913531267528,90.6318305512148,4.29014194856669,21.4518246163224,98.4996623957369,84,9.67637666423056,2.98699109448462,99.7622619081312,14.4537583766812,"Surrogate"
"244","2","Group9&1",NA,"TurnTaking",3.11624742964441,73.9147387574734,26,2.90895140664962,1.29718987644413,92.538511092777,4.05462018421313,22.0377771930028,98.7543626823589,83,9.0626056429593,2.88640341018041,99.6587780238879,13.1549586991532,"Surrogate"
"245","2","Group9&1",NA,"Synchronous",6.36662793120032,93.2115583018247,61,4.52352380568867,2.07845665658103,95.8887097175701,5.84960769425462,22.8462699753209,98.7809804091289,123,9.59253087557603,2.9687953522882,99.6001646113032,13.567944395027,"Surrogate"
"246","2","Group9&1",NA,"TurnTaking",3.41575317824237,84.0861988967366,35,3.32677912170845,1.56593527352967,88.6178274990978,3.82050142247511,21.645118365751,98.7429055023329,87,9.54851709199687,2.95282267166383,99.6044231518242,13.5947802498305,"Surrogate"
"247","2","Group9&1",NA,"Synchronous",3.87291855567368,79.3326088636891,24,3.19982760834082,1.50618648371183,97.1986668546044,6.03989489447066,22.7187894256888,98.7416898463991,119,12.2495832228242,3.08951197465915,99.7777341712905,23.7652899776311,"Surrogate"
"248","2","Group9&1",NA,"TurnTaking",2.70879423049933,74.4695236114,21,2.81447630279354,1.23350892217614,96.5707561888912,5.0124510730193,21.2690949783002,99.0086622772141,140,11.7052771644281,2.99991493445653,99.6637362870385,21.9985598300599,"Surrogate"
"249","2","Group9&1",NA,"Synchronous",3.71127913502571,82.9486790160948,37,3.54783455777895,1.68516297872797,94.0745520801701,4.95833541739609,21.735667892092,98.4372131924681,73,8.13676544317493,2.74423275376285,99.5922644367439,13.8177540083267,"Surrogate"
"250","2","Group9&1",NA,"TurnTaking",3.48458948887675,79.9852435073959,30,3.19493732210985,1.47502828829749,90.0302710242118,4.05561499760967,21.3967663411105,98.2582625918032,89,7.74785527072812,2.66109958172292,99.6046959782923,13.3709705504647,"Surrogate"
"251","2","Group9&5",NA,"Synchronous",3.95519106610698,76.8827664813026,32,3.36931962303175,1.59501267847271,93.5664260940415,5.59691594758709,21.8956734152662,95.9729592265192,94,8.70372818519504,2.8821954046009,97.3356139314014,12.4996032230497,"Surrogate"
"252","2","Group9&5",NA,"TurnTaking",3.22232825217229,73.2771906047457,32,3.01468141553127,1.36466921891245,91.2179073808925,3.79320061812563,25.4516678025833,98.468687424944,91,10.2252025903252,3.05716485438435,99.2376151653651,15.6475556940668,"Surrogate"
"253","2","Group9&5",NA,"Synchronous",4.83349237825843,87.5174421358282,49,3.97651012266384,1.85895462715147,95.7708968627837,5.55576455669449,23.563120392187,98.2110872834808,110,9.82021950842479,2.90651879940386,99.6537754524366,14.1498965149583,"Surrogate"
"254","2","Group9&5",NA,"TurnTaking",3.19860798856919,79.8743661878782,33,3.26219813823807,1.52353029481463,89.2214777663387,3.95376808412013,24.0051130993073,97.6479336227198,88,10.3925214957009,2.93849220447245,99.4151087511842,14.0317096056953,"Surrogate"
"255","2","Group9&5",NA,"Synchronous",3.79561198015951,77.0475222811437,34,3.36847122776414,1.59507607407166,92.9136451997532,4.83958821681448,21.4315810727899,97.8995344349763,99,11.3614221303776,2.87756783219751,98.8944449480691,22.6256249768527,"Surrogate"
"256","2","Group9&5",NA,"TurnTaking",2.95126216632043,74.2214770306636,43,2.94700182425549,1.32102616539383,93.8660922592232,4.68779426664283,29.4322388578548,98.606125973207,136,14.4647041023646,3.14293434235273,99.0699058766672,30.4009440787094,"Surrogate"
"257","2","Group9&5",NA,"Synchronous",6.39195067734824,92.0193730215798,71,4.62305360627829,2.10446777711115,97.0232437689233,6.01626321813554,23.099288249499,96.2261232115876,94,7.64460857425813,2.73494166723611,99.5574589900483,13.8715837274516,"Surrogate"
"258","2","Group9&5",NA,"TurnTaking",4.09515294815405,81.6070453362918,43,3.54632432634451,1.64406796362755,91.3692050345946,4.32309257375382,23.029745519403,97.7946233068373,77,8.08073641167355,2.76622704477644,99.5432424513358,13.2666265120715,"Surrogate"
"259","2","Group9&6",NA,"Synchronous",3.30461837230389,71.608609232704,30,3.31515973849759,1.56550228732154,88.2632860667487,5.00858784396734,22.2590510930039,96.1525572986074,130,11.1636702527121,3.10925420261402,97.1991676992495,20.6522279072078,"Surrogate"
"260","2","Group9&6",NA,"TurnTaking",2.83000178386244,70.5078185766644,24,2.88580160448236,1.28022262322402,89.5741940301294,4.07449759411265,18.0399288717859,93.5002682780014,86,7.0994640927543,2.66732870846065,94.5247248467738,9.46909858015297,"Surrogate"
"261","2","Group9&6",NA,"Synchronous",4.05385820565275,88.9959427643068,50,4.1881107158919,1.94149839714263,94.7903182367097,5.32226829268293,21.8298949087748,96.3446302991776,78,8.16782985947374,2.78284155937561,99.5586634351782,13.875124587477,"Surrogate"
"262","2","Group9&6",NA,"TurnTaking",3.32729966370759,81.7546719450428,40,3.2874289727383,1.52602556794985,90.1258024737096,4.08369304556355,20.7005064008281,95.7310681002863,76,8.11674932147272,2.771637338336,99.5360093451757,13.36099706415,"Surrogate"
"263","2","Group9&6",NA,"Synchronous",3.1041143475193,76.4059158237507,35,3.39098141900398,1.60215415265849,94.2696839561362,5.07426407719555,20.9216415276087,96.1505392213357,69,9.40704597813038,2.72485215597136,97.284616169095,14.5749403756335,"Surrogate"
"264","2","Group9&6",NA,"TurnTaking",2.84865045435663,73.1667964838099,23,2.91984902309059,1.29855695021259,93.2402358962946,4.46972884871833,20.4027337630562,95.9620023176784,81,9.50213837113368,2.75338075781561,96.7289787166387,15.0283208284899,"Surrogate"
